,¿ù,ÀÏ,1h,2h,3h,4h,5h,6h,7h,8h,9h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,sum,year
106,4,17,0,0,0,0,0,0.0,4.56,65.88,209.04,694.32,659.04,228.24,688.32,813.24,423.84,429.72,422.28,271.68,49.8,0.0,0.0,0.0,0.0,0.0,4980.959999999999,2013
107,4,18,0,0,0,0,0,0.0,7.44,73.56,189.6,321.72,503.88,701.52,677.64,1168.56,1029.96,807.24,526.92,250.2,56.04,0.0,0.0,0.0,0.0,0.0,6336.280000000001,2013
108,4,19,0,0,0,0,0,0.0,35.76,135.84,468.84,819.72,858.24,1069.8,1236.72,1224.48,1115.52,906.72,606.84,276.96,58.68,0.0,0.0,0.0,0.0,0.0,8837.12,2013
109,4,20,0,0,0,0,0,0.0,0.0,14.52,33.72,60.96,113.88,99.36,255.36,173.28,84.84,62.28,101.88,38.88,7.08,0.0,0.0,0.0,0.0,0.0,1070.04,2013
110,4,21,0,0,0,0,0,0.0,45.0,258.6,596.04,900.0,1140.48,1303.2,1345.32,1297.08,1176.6,968.52,637.2,261.6,69.72,0.0,0.0,0.0,0.0,0.0,10024.359999999999,2013
111,4,22,0,0,0,0,0,0.0,44.88,269.28,610.8,909.24,1139.28,1187.4,1227.12,1229.16,1125.36,804.36,584.04,235.8,48.84,0.0,0.0,0.0,0.0,0.0,9441.56,2013
112,4,23,0,0,0,0,0,0.0,1.44,18.6,38.16,45.48,98.04,97.92,77.88,54.84,84.6,57.0,53.4,12.72,0.0,0.0,0.0,0.0,0.0,0.0,667.0799999999999,2013
113,4,24,0,0,0,0,0,0.0,0.0,27.24,128.64,634.56,941.16,1247.76,1318.92,1281.48,1145.88,916.44,589.8,286.08,69.96,0.0,0.0,0.0,0.0,0.0,8615.920000000002,2013
114,4,25,0,0,0,0,0,0.0,5.16,52.92,107.88,214.56,503.04,597.36,253.56,77.28,157.44,179.28,263.4,267.0,69.24,0.0,0.0,0.0,0.0,0.0,2777.12,2013
115,4,26,0,0,0,0,0,0.0,45.12,269.76,605.4,930.6,1151.28,1269.96,1318.2,1287.24,1178.88,956.52,650.16,307.68,62.28,0.24,0.0,0.0,0.0,0.0,10063.32,2013
116,4,27,0,0,0,0,0,0.0,57.36,253.44,523.44,788.52,1028.28,1137.12,1188.24,605.52,80.64,300.24,255.96,213.6,33.84,0.0,0.0,0.0,0.0,0.0,6497.2,2013
117,4,28,0,0,0,0,0,0.0,42.12,222.96,499.56,769.56,788.88,663.96,939.36,1147.2,1123.68,711.36,394.56,278.4,42.48,0.0,0.0,0.0,0.0,0.0,7656.08,2013
118,4,29,0,0,0,0,0,0.0,11.64,66.24,144.12,156.96,164.64,187.92,91.44,98.76,89.04,145.56,187.56,130.68,35.4,0.0,0.0,0.0,0.0,0.0,1542.96,2013
